time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.36,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.044432,0.000000,0.000000,10.988763,0,0,1,0,0,0,0,0,0,0,0,37,0,0,0
0.37,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.040456,0.000000,0.000000,10.988130,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0
0.38,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.036372,0.000000,0.000000,10.987480,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0
0.39,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.032179,0.000000,0.000000,10.986813,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0
0.40,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.027878,0.000000,0.000000,10.986128,0,0,1,0,0,0,0,0,0,0,0,41,0,0,0
0.41,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.023468,0.000000,0.000000,10.985426,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0
0.42,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.018949,0.000000,0.000000,10.984707,0,0,1,0,0,0,0,0,0,0,0,43,0,0,0
0.43,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.014322,0.000000,0.000000,10.983970,0,0,1,0,0,0,0,0,0,0,0,44,0,0,0
0.44,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.009586,0.000000,0.000000,10.983217,0,0,1,0,0,0,0,0,0,0,0,45,0,0,0
0.45,-1187938.315000,-6195275.097000,939939.549100,-485.864818,-90.480890,624.767322,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.004741,0.000000,0.000000,10.982446,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0
